,0,1,2,3
218,333.7302,421.00583,446.36826,476.22806
219,271.0096,157.72476,390.33932,207.42221
220,282.0726,145.77393,363.54477,192.57108
221,372.17145,760.80554,490.06128,805.7875
222,289.90408,561.60034,354.54745,614.0073
223,286.20325,684.71454,380.6809,723.8746
224,386.94928,769.75977,507.2002,818.3617
225,357.98663,533.76697,490.47638,602.8279
226,271.17554,400.4665,378.86804,475.30066
227,308.01007,85.63846,417.8764,151.6966
228,262.65402,415.14066,390.0225,488.3074
229,374.3091,740.0412,499.0845,785.9736
230,279.03894,492.73853,409.4615,551.46875
231,343.52637,280.41272,474.54694,330.802
232,334.90137,82.923096,446.1087,149.42343
233,294.91177,694.1186,337.38998,729.70966
234,305.69174,738.00714,422.54056,798.91327
235,311.17563,739.8306,469.76266,790.06744
236,279.72958,699.2897,325.27963,746.47815
237,263.0985,461.762,357.5807,529.9327
238,348.74,595.79944,458.65686,654.96765
239,281.36188,97.58163,373.5039,152.8812
240,298.41486,697.7858,376.57532,735.30743
241,295.1744,675.8124,349.62704,712.09314
242,290.2254,691.4519,372.62695,728.3944
243,280.5989,415.3728,345.48264,460.54352
244,393.1806,443.7308,493.35974,479.44278
245,312.74237,686.45355,408.73627,732.16144
246,272.20917,506.1805,345.74298,579.094
247,335.2883,115.01494,485.342,218.18578
248,272.89157,118.938614,315.73093,186.54805
249,301.63812,208.50087,352.15363,232.62996
250,274.62274,460.60678,400.18933,519.9647
251,287.2897,735.2307,352.65433,779.9198
252,301.77136,352.5777,492.4923,407.49463
253,319.4151,171.1199,496.48346,250.03857
254,270.8238,406.4077,352.85614,463.14398
255,342.14673,654.1691,478.40277,707.8348
256,275.20798,478.49997,413.53915,538.9143
257,293.5017,156.19481,351.67212,196.62675
258,300.85876,228.73569,352.2201,251.92563
259,296.2476,203.9074,351.96,246.10075
260,274.8701,544.117,346.68973,613.0008
261,277.84122,446.25955,389.44315,502.62943
262,240.116,448.82346,346.80215,521.1534
263,310.8286,379.57474,513.9642,443.13773
264,268.99033,418.87155,352.61923,476.07425
265,261.2685,427.6862,356.8947,488.28793
266,298.03152,384.99347,536.74927,454.79718
267,274.30527,390.60773,359.91043,453.64166
268,276.13098,302.7226,346.6206,360.27386
269,294.32416,287.48215,356.98547,329.89725
270,374.80032,471.0187,479.8102,517.06445
271,293.19785,169.57173,375.76895,215.66866
272,340.60376,764.5075,500.51685,828.576
273,275.88138,127.569275,317.46738,199.07617
274,295.1214,621.7405,365.6317,667.32556
275,318.8052,448.54285,507.94925,500.8791
276,299.71222,111.338455,355.09668,151.5837
277,259.18958,550.966,342.30627,603.123
278,269.96542,339.75375,349.79605,399.4302
279,286.96722,703.7528,353.6349,748.87134
280,284.96368,671.26373,377.22943,705.42316
281,259.97784,510.55746,337.00714,581.47864
282,287.93732,222.07584,346.95715,246.18445
283,303.13702,252.47618,494.18152,310.61096
284,275.93976,183.53044,354.62402,224.02681
285,347.92133,726.3773,491.53925,797.088
286,291.7384,711.0213,343.54523,763.0136
287,343.62677,182.25623,484.8553,250.4671
288,320.2477,203.7997,367.51645,230.4327
289,359.0176,401.37994,506.32394,455.0456
290,300.8927,198.795,357.08728,232.21541
291,340.47235,666.84534,478.11975,740.0509
292,347.1237,568.95807,450.80038,628.56366
293,279.0215,702.972,322.79105,766.9797
294,259.297,532.6941,345.76556,591.4114
295,193.34377,415.73187,313.2107,555.64233
296,282.2492,717.59656,344.78033,756.47473
297,349.5625,293.31482,474.82428,358.0733
298,306.42694,103.48157,469.49756,148.32263
299,342.1082,246.9609,486.04086,315.6077
